Rubric,Description
Polite,submissive
Politics ability for,Relating to study structure or affairs of government politics or the state
Pompous,Marked by an exaggerated show of dignity or self importance with an air of superiority
Positivness,"Affirmative, self assured, positive in all affairs and reach their objectives"
Postponing everything next day,A lazy person has the habit of delaying or putting work to tomorrow
Power love of,Great desire and ability to control & compel others
Praised being,They wishes to have good thing told about him
Praying,"Religious minded , devote their maximum time for prays"
Precocity,"Attainment of early maturity, development of mental faculties before the proper age"
Predicting,Power to perceive things that are naturally beyond the range of human sense
Prejudiced,Bias or posses ness of mind
Premonition,Presentiment of the future in advance
Pre menstrual symptom,"Anger, irritability, depression etc just before menses"
Pre occupied,"Lost in thought, absorbed from look itself"
Presumptuous,Bold and over confident
Pride,An unreasonable opinion of one's own excellence
Prim,artificial behaviour designed to impress others
Procrastinate,Postponing or putting of something until its later date
Profanity,Disrespect towards the religious things
Prophesying,Foretelling future events
Protesting,They rebel against any authority or ruling power
Proud,Haughtiness
Provoke,"To excite, stimulate or incite others"
Prying,To examine things with impertinent curiosity
Pulling hair,Desire to draw out one's hair
Punctilious,Arriving or reacting at the designated time
Pyromania,Fire mania
Quaking,Sound produced by ducks- occur in mania
Qualmish,Bitter regrets arising from the repentance of past misdeeds
Quarrelsome,Disposed to fight for pretty matters
Queer,"Open to suspicion, counter fit"
Quick to act,He has quick reflexes and react very fast due to great co-ordination of ideas and actions
Quite disposition,Tendency to remain calm and peaceful
Quitted cannot,So agitated or restless and not possible to keep quite or calm
Rage,He has no control over his anger and behave in violent manner
Rakes,Immoral personalities
Rash,Quality of acting hastily and incautiously
Reading av to,A settles and vehement desire not to read
Reality flight from,When faced with facts or difficult situation he tries to escape and live in imaginary world
Reason increased power of,"Increased intellectual faculty ,have logical explanation for every little incident in life"
Rebellious,"Revolt, resents and resist authority"
Reckless,Careless or heedless of consequences
Recognize anything,One ceases to identify his own friends
Recriminating,Remain absorbed in nostalgia and bad memories
Relenting,An attentive consideration with introspection
Rejecting every thing,"He does not accept things offered , capriciousness"
Religious,Committed to the service of divine or religion
Relocating,Have a desire to change or misplace things from their place
Remedies homeopathic,Aversion to homoeopathic medicine
Remorse,"painful memory of wrong doing, bitter regrets arising from the repentance of past misdeed"
Renunciation,"Self resignation, self denial"
Repose,To rest in confidence
Reproaches,"Ailments after disappointment and disapproval - they blame oneself for something, they lack self confidence"
Repulsive mood,"A tendency to reject anything irrespective of its quality, does not appreciate efforts by others, nothing give him satisfaction"
Resentment,Feeling of anger or irritation caused by insult
Reserved,"Introvert, self restrained in behaviour and expression"
Resignation,"Condition around does not agree very well even though he wants to change it , he cannot- he give up position because he cannot cop up with stress and strain"
Resolute,"Firmness, determination and boldness enough to face circumstances against all odds"
Respected desire to be,Want to be respected by everybody even though he is not in a good status
Responsibility av to,Try to avoid any important job or promotion given to him
Rest,"Cannot when things are not in proper place, OCN, always cleaning up and put things in order"
Restlessness,"Unable to rest, hyperactive people who are full of energy and desires a constant change"
Reticent,Reserved in speech
Retirement desire for,Desire to withdraw from company or occupation or responsibility
Revealing secrets,Making Known the facts which are supposed to be maintained as confidential
Revengeful,Take revenge by harming somebody whom had harmed earlier or suspected to have harmed in any way
Reverence,"Fear mingled with profound respect, showing highest degree of respect to the point of worship"
Reveres,"Day dream, lost in thought"
Revolutionary,Those who have rebellions thought against any authority or ruling power
Rich,Desire to be rich in wealth & money
Ridiculous action,"Action designed to excite laughter with some degree of contempt, mockery, but without having a very good and sensible aspect on it."
Gestures,"are involuntary movement of the organs of the person, but ridiculous action - not such the action presented may be deliberate, yet this is to be considered in that very rubric"
Riding in carriage av to,Who dislike travel in carriage
Right always claim to be,He never accept others opinion and feel that only his judgment will lead to success
Rigid,"Firmly adhering to an opinion or purpose, inflexible"
Romantic,An opinion attitude or idea based on feelings/emotions rather than reason
Roving about naked,Perverted mind wants to expose in public
Rudeness,"A general & habitual deficiency in manner and grace, no respect"
Rules,"Aversion to obey the rules, rebellion"
Runs about,Desire to run away or try to run here and there
Sadness,"Unhappiness or sorrow , a general term without implication of intensity"
Sarcasm,A mocking ridicule intended to wound others
Satyriasis,Excessive and uncontrollable sexual desire in man
Scape goat,A goat on which laid sins of Jewish and then allowed to escape one who made to bear others mistakes
Sacred,Frightening and terrifying
Skepticism,Doubt full and disbelieve
Schizophrenia,Split personality with withdrawal from reality
Scoffing,Feeling or showing open disrespect
Scolding,Always finding faults and quarrelling by harsh language
Scorned,"An expression of extreme contempt , but has been in silence"
Scowl inclination to,Wrinkle brows to look gloomy or threatening
Scraping with hands,"A symptom of delirium, tear or mark the surface with hands"
Screaming,A sudden sharp cry indicates sudden terror or fear he has just experienced
Scrupulous,Have principles and moral integrity in all the deeds
Searching,Search for something on the floor as if lost which may draw the attention of others also
Secretive,"Reliably close mouthed, maintain privacy in all affairs of life"
Secrets divulges,Revealing secrets which are of confidential nature
Self control,Strong will power and are able to exercise control over their emotions and actions
Self deception,"Deceiving oneself, mislead to do something due to one's own illusion"
Self denial,Forbearing to gratify ones own appetite and desires
Self esteem,Good opinion on oneself
Self indulgence,Undue gratification of ones own appetite and desires
Self torture,Inflicting punishment to oneself for the sin feel he had committed
Selfishness,Self centered person care for no one but only own
Selflessness,Concerned about others rather than one self
Senses,Good power of perception & reasoning that even slightest change in their surrounding is immediately felt
Sensitive,Most trifling ailment will upset him to such an extend that it cannot be tolerated
Sensual,"Indulging in sensual activities, lewd and voluptuous"
Sentimental,"Heart rule over the brain, attitude based on feeling or emotions rather than reasons"
Serene,Calmness of mind and kindly disposed towards everyone although he might be suffering from serious problem
Serious,Grave in disposition or manner not in happy mood
Servants desire to have,Desire to have some one to help
Service,"Always depended on others opinion, no complaint"
Sexual excess,Mental complaint arising after excessive indulgence in sex
Shameless,"A voluntary act by which exposing body, lack of modesty and decency"
Shy,"Avoiding observation by others , tendency to keep way"
Sighing,Exhale audible long deep breath as in grief or to express pain
Singing,Marked desire to sing continually even during severe illness
Sitting inclination to,Inclination to sit irrespective of his surrounding even though there is no seat available
Size incorrect judgment of,"Incorrect assessment of size, gravity of situation or problem"
Slander disposition to,Formulating false stories in order to impair public reputation of others
Slovenly,Habitually careless about their looks even though financially sound
Slowness,Inability to perform any work with fast or normal speed
Sluggishness,"Disinclination to activity, mentally dull with poor understanding inability to do anything"
Sly,"Inclined to cheat , committing fraud and give false witness in court"
Smaller thing appear,Everything appear smaller to him
Smiling,To express pleasure always
Snappish,Speaking curtly. They are tense worried overworked angry person uttering sharp words
Snarling,Barking or growling like a dog
Sneering at every one,Facial contortions that expression contemptuousness to every one
Snub,Ignoring or behaving coldly towards others in a sarcastic manner
Sobbing,Weep with audible convulsive catches of breath
Soberness,"Straight forward, earnest in their dealings and manners"
Sociability,Fitted for companion ship
Solemn,Does not like to deviate from norms
Solitude,"A desire for loneliness, do not like to mingle with society"
Somber everything that is,"Not satisfies, everything seems to be in a blue condition"
Somnambulism,"An action performed while sleep, not able to recall later"
Sopor,Deep stupid sleep
Sorrowful,Sadness expressing sorrow
Spaced out feeling,"Stupefaction of mind, empty feeling"
Spineless,No courage or dare to do anything
Spiteful,"Petty unwanted annoyance, other person feel offended"
Spitting,Impulse to spit in face of people - an involuntary action
Spoiled children,"Conduct disorder , children had over indulged or pampered"
Spoonerism,Transposition of initial sounds of spoken words
Spying everything,Investigate secretly
Squandering,"Spend money unwisely, unwanted purchase, worthless investments"
Stage fright,"Anticipation on stage, in presence of people"
Staring,"Look fixedly with wide open eyes, totally blank"
Starting,Wake suddenly from sleep
Stating,Very difficult to narrate her complaints
Stereotypic,"A conventional or traditional idea, no sense of creativity and apprehensive to try out anything new"
Strange things impulse to do,Wants to unusual things not done by anybody before
Stranger sensation,Feeling of one self to b a stranger may occur after high fever
Strength increased mental,Mentally strong enough to sustain & withstand stress and strain
Stressed,"Affected by strain, pressure or force"
Striking,"Touching something with a speed of force, like an accident which may draw attention of others"
Stubborn,"Obstinate, admen to his thoughts and actions"
Studying difficult,Dull sluggish and lack concentration
Stunned,Lose consciousness due to sudden event or news
Stupefaction,Astonished and being amazed
Stupidity,"Unintelligent behaviour, they are intellectually dull and not doing such act deliberately"
Succeed never,"Very hard working person met with repeated failures, now he feel that he will never succeed"
Suggestions will not receive,"Unwillingness to accept advices, they never follow other people suggestions even though it is for their own good"
Suicidal disposition,Intentionally killing one self
Sulky,Silent inactive and unsocial attitude in dejected persons. He will talk only to the extend of his purpose served
Sullen,Gloomy and oppressed after being offended
Summing up difficult,Very weak in mathematics
Superstitious,Old unreasonable obsolete beliefs which cause dread and fear
Susceptible,Oversensitive people affected and influenced by deep emotions or any external factor
Suspense,Creating a type of anxiety or anticipation
Suspicious,"Distrustful people always suspecting a wrong being done to them, without sufficient evidence or proof"
Swearing,After heated exchange make an oath to inflict a doom or misfortune on other Person
Swooning fits,Sudden fits or faintness
Sympathetic,"Friendly sensitivity to other's emotions, even to those who are not very close to him"
Taciturn,A gloomy person wants to be left alone
Talented,Special aptitude
Talkative,Disposition to enjoy conversation to n unlimited end
Talk alone when,Talk to themselves either about their anxieties and fears even though there is no one around
Talk desire to some one,An intense desire to talk to some one for self satisfaction
Tearing,A destructive tendency to destroy things by tearing them
Teasing,To irritate for the purpose of provocation
Temerity,Over confident & rash
Tenderness,Warm friendly affectionate people
Testament,Refuse to make a written document
Theorizing,Makes many plans without any head or tale
Thinking aversion to,Lazy and indolent people dislike to think on any aspect
Threatening,A disposition to utter threat even on petty matters
Throwing things around,Tendency to throw things in anger
Thunderstorm,All the mental complaints and sufferings increase before or during a thunderstorm
Ticklishness,Titillating or stir up to pleasure
Tics,Gestures or convulsive motions of certain muscles
Tidy,Fastidious neat clean and orderly people
Time fritters away,Wasting time without having any purpose
Timidity,"Shrinking from public attention, fear of facing a person or situation"
Tipsy,Stupefaction of mind
Tolerant,Power to bear anything calmly and cannot be easily provoked
Tormenting,To put extreme pain anguish and distress to those around him with his minor complaint
Torpor,A state of mental or physical inactivity with sluggishness and stagnation of functions
Torturing,Threatening and tormenting
Trance,A detachment from physical surroundings. Observed when a person totally absorbed in deep concentration especially when listening to music with eyes close and meditating
Tranquility,"Peaceful, calm and undisturbed mind"
Trapped,Delusion or feeling of being trapped
Trauma mental,Symptoms arising after mentally injured or emotionally disturbed
Traveling,"Cosmopolitan, feeling of satisfaction by traveling"
Tribadism,Homosexuality
Tricky,Inclined to cheat and committing fraud
Trifles,A thing of little value given too much importance
Truth telling the plain,"They prefer not to lie even if beneficial, come forward and admit their faults"
Twilight agg,Mental symptoms are aggravated during the faint light- before sunrise and after sunset
Un attractive things seems,"Every thing look un attractive , lacking beauty and charm"
Unconsciousness,Un aware of his surroundings
Understanding not,Unable to comprehend fully
Undignified,They have low self esteem and undertake things without dignity - not given the respect they might deserve.
Unfeeling,Hard hearted having no sympathy
Unfortunate feels,"A feeling of ill fated unsuccessfulness, devoid of have blessing from God"
Unfriendly humor,Not kind or favorable
Un gracious,"Lacking social grace, unpleasant & wicked"
Ungrateful,Never appreciate what others are done for him and do not express their gratitude
Unification,A brotherhood feeling
Un observing,Lack of observation or failure to notice
Un real everything seems,"Lacking in truth, whatever visible to him feel unreal"
Un reasonable,Immoderate and make absurd demands
Un reliable,Not to trusted or relied upon
Untidy,"Very careless about their dress, work or ideas"
Unworthy,Not conforming to the standards
Up heave,A type of excitement in which he rise upwards
Usurer,One who lend money in illegal & fraud way
Vacillations,Inability to take stands and fluctuate in their opinion
Vanity,Always pre occupied with their appearance achievements and belongings
Veneration,"Deep respect, showing respect excessively"
Verify everything,"OCN, checking everything frequently"
Verses,Habit of representing thoughts and desires in a poetical manner
Vexation,Disturbed and un easy person may feel the smallest occurrences troublesome and annoying. They feel angry or harassed on little matters
Vindictive,Inclined to seek revenge when hurt or insulted
Vivacious,"Full of life animation, enthusiasm & spirit even if faced difficulties"
Vulnerable,Susceptible to attack emotionally
Wailing,To protest by making high pitched prolonged sound suggestive of a cry
Wandering,Traveling here and there aimlessly
Watched,Observant and vigilant person always being very alert
Wearisome,Causing mental or physical fatigue
Weary of life,"Due to frequent set back in life, mentally and physically fed up with life with no desire to survive as life is felt as a burden"
Weeping,To express grief or anguish by tears
Whimpering,Soft intermittent crying
Whimsical,Un predictable erratic mood or actions. He will not listen to any one and will not budge an inch from his thought
Whining,A prolonged high pitched cry usually expressing a distress
Whistling,A disposition to produce sound like whistling in musical minded or light hearted
Wicked disposition,Evil in principles and practice
Wild feeling in the head,"Turmoil, wild type of impulses rendering a person not amenable to human habitation"
Wildness,Rough personalities with irregularity of manners and ungovernable emotions
Will full,Obstinate and head strong
Will contradiction of,Lack of coordination in the desires and execution of these desires by body parts
Willy,Cheating and deceitful
Witty,Power to amuse and express quickly
Woman mannish,Woman who have desire to dress and behave like a man
Work av to mental,settled dislike for any sort of mental work
Worry,Painful or apprehensive uneasiness
Wretched,"Miserable, marked or affected by un happiness and sorrow"
Wrong everything seems,A false sort of felling where he declare everything wrong or it appears wrong to him. Are dissatisfied and make life miserable to others also
Yielding,"Very flexible and adjustable. Agree to demands made by others, even if they want to do otherwise"
Zealous,Enthusiastic devoted person in pursuit of perfection
